"Simple_ID","Exposure_ID","Death_timing","Pre_exp_ID","Exposure_type","Exposure_start","Exposure_duration","Animal_type","Death_date","Batch","Notes","Erin_ID","Well_1","Well_2","Well_3","Status","MeanCopy","Well_1_1","Well_2_1","Well_3_1","Status_1","MeanCopy_1","MeanCopyFinal","Exposure_duration_numerical","logMeanCopyFinalPlus1","MeanCopyFinalPlus1","Trio_ID","Larval_condition","Final_status","Final_status_binomial"
"MR431","ALS.SQ.1.4","Died after exposure","ALS4","Sequential",2021-07-11,"1hr","Naive",2021-07-18,2,NA,23,46.86175156,50.97190094,52.2324295,"Pos",50.02202733,NA,NA,NA,NA,NA,50.02202733,1,1.70775771105032,51.02202733,"ALS.1.4","ALS","Pos","1"
"MR430","ELS.SH.48.6","Died after exposure","ELS2","Shared",2021-07-11,"48hr","Naive",2021-07-18,2,NA,17,20218558,18650034,19980876,"Pos",19616489.33,NA,NA,NA,NA,NA,19616489.33,48,7.29262130851491,19616490.33,"ELS.48.6","ELS","Pos","1"
"MR429","EHS.SH.48.4","Died after exposure","EHS7","Shared",2021-07-11,"48hr","Naive",2021-07-18,2,NA,10,35950800,35438812,37115804,"Pos",36168472,NA,NA,NA,NA,NA,36168472,48,7.55833017363105,36168473,"EHS.48.4","EHS","Pos","1"
"MR427","ALS.SH.48.6","Died after exposure","Missing data.","Shared",2021-07-11,"48hr","Naive",2021-07-18,2,NA,396,29468243,28471635,28570311,"Pos",28836729.67,NA,NA,NA,NA,NA,28836729.67,48,7.4599460212186,28836730.67,"ALS.48.6","ALS","Pos","1"
"MR425","AHS.SH.48.4","Died after exposure","AHS10","Shared",2021-07-11,"48hr","Naive",2021-07-17,2,"Died day before it was supposed to be euthanized",46,44358156,37194448,32434096,"Pos",37995566.67,NA,NA,NA,NA,NA,37995566.67,48,7.57973293743965,37995567.67,"AHS.48.4","AHS","Pos","1"
"MR424","AHS.SH.48.6","Died after exposure","AHS9","Shared",2021-07-11,"48hr","Naive",2021-07-17,2,"Died day before it was supposed to be euthanized",47,20487120,18167494,16257571,"Pos",18304061.67,NA,NA,NA,NA,NA,18304061.67,48,7.26254749406598,18304062.67,"AHS.48.6","AHS","Pos","1"
"MR423","ELS.SH.48.4","Died after exposure","ELS3","Shared",2021-07-11,"48hr","Naive",2021-07-17,2,NA,397,46933412,43619168,39695600,"Pos",43416060,NA,NA,NA,NA,NA,43416060,48,7.63765041875994,43416061,"ELS.48.4","ELS","Pos","1"
"MR422","EHS.SH.48.5","Died after exposure","EHS2","Shared",2021-07-11,"48hr","Naive",2021-07-17,2,"Very mushy.",56,1029565.875,892154.75,890377.125,"Pos",937365.9167,NA,NA,NA,NA,NA,937365.9167,48,5.97190962152452,937366.9167,"EHS.48.5","EHS","Pos","1"
"MR421","ELS.SQ.6.4","Died after exposure","ELS9","Sequential",2021-07-11,"6hr","Naive",2021-07-17,2,NA,27,547.4637451,503.5111084,495.9654236,"Pos",515.646759,NA,NA,NA,NA,NA,515.646759,6,2.71319370934156,516.646759,"ELS.6.4","ELS","Pos","1"
"MR420","ALS.SQ.24.6","Died after exposure","ALS15","Sequential",2021-07-12,"24hr","Naive",2021-07-17,2,NA,19,5165.154785,4145.234863,3902.856689,"Pos",4404.415446,NA,NA,NA,NA,NA,4404.415446,24,3.64398687015957,4405.415446,"ALS.24.6","ALS","Pos","1"
